song_id;song;track;writers;length;year;album
152;wish_list;8;max_martin;3:27;2025;the_life_of_a_showgirl
152;wish_list;8;shellback;3:27;2025;the_life_of_a_showgirl
153;wood;9;taylor_swift;2:30;2025;the_life_of_a_showgirl
153;wood;9;max_martin;2:30;2025;the_life_of_a_showgirl
153;wood;9;shellback;2:30;2025;the_life_of_a_showgirl
154;cancelled;10;taylor_swift;3:31;2025;the_life_of_a_showgirl
154;cancelled;10;max_martin;3:31;2025;the_life_of_a_showgirl
154;cancelled;10;shellback;3:31;2025;the_life_of_a_showgirl
155;honey;11;taylor_swift;3:01;2025;the_life_of_a_showgirl
155;honey;11;max_martin;3:01;2025;the_life_of_a_showgirl
155;honey;11;shellback;3:01;2025;the_life_of_a_showgirl
156;the_life_of_a_showgirl ;12;taylor_swift;4:01;2025;the_life_of_a_showgirl
156;the_life_of_a_showgirl ;12;max_martin;4:01;2025;the_life_of_a_showgirl
156;the_life_of_a_showgirl ;12;shellback;4:01;2025;the_life_of_a_showgirl
157;fortnight;1;taylor_swift;3:48;2024;the_tortured_poets_department
157;fortnight;1;jack_antonoff;3:48;2024;the_tortured_poets_department
157;fortnight;1;austin_post;3:48;2024;the_tortured_poets_department
158;the_tortured_poets_department;2;taylor_swift;4:53;2024;the_tortured_poets_department
158;the_tortured_poets_department;2;jack_antonoff;4:53;2024;the_tortured_poets_department
159;my_boy_only_breaks_his_favorite_toys;3;taylor_swift;3:23;2024;the_tortured_poets_department
160;down_bad;4;taylor_swift;4:21;2024;the_tortured_poets_department
160;down_bad;4;jack_antonoff;4:21;2024;the_tortured_poets_department
161;so_long_london;5;taylor_swift;4:22;2024;the_tortured_poets_department
161;so_long_london;5;aaron_dessner;4:22;2024;the_tortured_poets_department
162;but_daddy_i_love_him;6;taylor_swift;5:40;2024;the_tortured_poets_department
162;but_daddy_i_love_him;6;aaron_dessner;5:40;2024;the_tortured_poets_department
163;fresh_out_the_slammer;7;taylor_swift;3:30;2024;the_tortured_poets_department
163;fresh_out_the_slammer;7;jack_antonoff;3:30;2024;the_tortured_poets_department
164;florida;8;taylor_swift;3:35;2024;the_tortured_poets_department
164;florida;8;florence_welch;3:35;2024;the_tortured_poets_department
165;guilty_as_sin;9;taylor_swift;4:14;2024;the_tortured_poets_department
165;guilty_as_sin;9;jack_antonoff;4:14;2024;the_tortured_poets_department
166;who_s_fraid_of_little_old_me;10;taylor_swift;5:34;2024;the_tortured_poets_department
167;i_can_fix_him_no_really_i_can;11;taylor_swift;2:36;2024;the_tortured_poets_department
167;i_can_fix_him_no_really_i_can;11;jack_antonoff;2:36;2024;the_tortured_poets_department
168;loml;12;taylor_swift;4:37;2024;the_tortured_poets_department
168;loml;12;aaron_dessner;4:37;2024;the_tortured_poets_department
169;i_can_do_it_with_a_broken_heart;13;taylor_swift;3:38;2024;the_tortured_poets_department
169;i_can_do_it_with_a_broken_heart;13;jack_antonoff;3:38;2024;the_tortured_poets_department
170;the_smallest_man_who_ever_lived;14;taylor_swift;4:05;2024;the_tortured_poets_department
170;the_smallest_man_who_ever_lived;14;aaron_dessner;4:05;2024;the_tortured_poets_department
171;the_alchemy;15;taylor_swift;3:16;2024;the_tortured_poets_department
171;the_alchemy;15;jack_antonoff;3:16;2024;the_tortured_poets_department
172;clara_bow;16;taylor_swift;3:36;2024;the_tortured_poets_department
172;clara_bow;16;aaron_dessner;3:36;2024;the_tortured_poets_department
